sequence,price,volume,side,time
4718192819,12930.00000000,0.01000000,sell,2017-12-30T17:29:44.950000Z
4718192821,12930.01000000,0.00010000,sell,2017-12-30T17:29:44.950000Z
4718192823,12930.81000000,0.00990000,sell,2017-12-30T17:29:44.950000Z
4718193255,12930.00000000,0.05100000,buy,2017-12-30T17:29:47.595000Z
4718193257,12930.00000000,0.21460075,buy,2017-12-30T17:29:47.595000Z
4718193259,12930.00000000,0.15504258,buy,2017-12-30T17:29:47.595000Z
4718193261,12930.00000000,0.01800000,buy,2017-12-30T17:29:47.595000Z
4718193263,12930.00000000,0.04000000,buy,2017-12-30T17:29:47.595000Z
4718193265,12930.00000000,0.52135667,buy,2017-12-30T17:29:47.595000Z
4718193437,12930.01000000,0.00010000,sell,2017-12-30T17:29:48.931000Z
4718193439,12930.81000000,0.00010000,sell,2017-12-30T17:29:48.931000Z
4718193441,12940.00000000,0.01907190,sell,2017-12-30T17:29:48.931000Z
4718193449,12940.00000000,0.00067142,sell,2017-12-30T17:29:48.982000Z
4718193777,12930.02000000,0.05000000,sell,2017-12-30T17:29:51.386000Z
4718193942,12930.02000000,0.01735580,sell,2017-12-30T17:29:52.871000Z
4718193945,12930.02000000,0.02477405,sell,2017-12-30T17:29:52.888000Z
4718194104,12930.02000000,0.09257584,sell,2017-12-30T17:29:55.355000Z
4718194144,12930.01000000,0.00320000,buy,2017-12-30T17:29:56.137000Z
4718194146,12930.01000000,0.00640000,buy,2017-12-30T17:29:56.137000Z
4718194148,12930.01000000,0.01280000,buy,2017-12-30T17:29:56.137000Z
4718194150,12930.01000000,0.02560000,buy,2017-12-30T17:29:56.137000Z
4718194152,12930.01000000,0.00010008,buy,2017-12-30T17:29:56.137000Z
4718194154,12930.01000000,0.05120000,buy,2017-12-30T17:29:56.137000Z
4718194156,12930.01000000,0.00963020,buy,2017-12-30T17:29:56.137000Z
4718194158,12930.01000000,0.00020015,buy,2017-12-30T17:29:56.137000Z
4718194160,12930.01000000,0.10240000,buy,2017-12-30T17:29:56.137000Z
4718194162,12930.01000000,0.00040031,buy,2017-12-30T17:29:56.137000Z
4718194164,12930.01000000,0.00010008,buy,2017-12-30T17:29:56.137000Z
4718194166,12930.01000000,0.00010008,buy,2017-12-30T17:29:56.137000Z
4718194168,12930.01000000,0.00020015,buy,2017-12-30T17:29:56.137000Z
4718194170,12930.01000000,0.00040031,buy,2017-12-30T17:29:56.137000Z
4718194172,12930.01000000,0.00080062,buy,2017-12-30T17:29:56.137000Z
4718194174,12930.01000000,0.00160124,buy,2017-12-30T17:29:56.137000Z
4718194176,12930.01000000,0.00020015,buy,2017-12-30T17:29:56.137000Z
4718194178,12930.01000000,0.00020015,buy,2017-12-30T17:29:56.137000Z
4718194180,12930.01000000,0.18446648,buy,2017-12-30T17:29:56.137000Z
4718194235,12930.01000000,0.30000000,buy,2017-12-30T17:29:56.821000Z
4718194265,12930.02000000,0.04000000,sell,2017-12-30T17:29:57.249000Z
4718194323,12930.02000000,0.02515153,sell,2017-12-30T17:29:57.872000Z
4718194332,12930.01000000,0.26218731,buy,2017-12-30T17:29:57.964000Z
4718194334,12930.01000000,0.00010000,buy,2017-12-30T17:29:57.964000Z
4718194336,12930.01000000,0.00160450,buy,2017-12-30T17:29:57.964000Z
4718194338,12930.01000000,0.00020000,buy,2017-12-30T17:29:57.964000Z
4718194340,12930.01000000,0.00040000,buy,2017-12-30T17:29:57.964000Z
4718194342,12930.01000000,0.00080000,buy,2017-12-30T17:29:57.964000Z
4718194344,12930.01000000,0.00160000,buy,2017-12-30T17:29:57.964000Z
4718194346,12930.01000000,0.00320000,buy,2017-12-30T17:29:57.964000Z
